sdtw_weight,mse_weight,best_val_mse_ckpt,val_mse,val_mse_std,val_mae,val_mae_std,val_crps,val_crps_std,test_mse,test_mse_std,test_mae,test_mae_std,test_crps,test_crps_std,elapsed_s
0.1,0.5,0.10347379377290561,0.10374896,0.2261562,0.1919658,0.12410197,0.17468423,0.12094909,0.102150574,0.20877354,0.19228663,0.12231678,0.17510922,0.11902207,468
0.015,2.0,0.10407353839207482,0.10425168,0.22330733,0.19728309,0.12156073,0.17859508,0.11887381,0.10218231,0.19295758,0.19735388,0.11961262,0.1788067,0.11672873,455
0.05,1.0,0.10467094187581502,0.10439914,0.23683017,0.19323258,0.12341258,0.17514281,0.120055445,0.102584414,0.20243728,0.19363356,0.12106242,0.17563511,0.11738034,489
0.015,1.0,0.10351279773148712,0.10349609,0.22920343,0.19389795,0.123852305,0.17511524,0.12069244,0.102640845,0.20605709,0.19508326,0.12322197,0.17648175,0.119986385,488
0.001,0.5,0.10476877633386106,0.1047005,0.23233937,0.19310234,0.12380577,0.17384562,0.119981185,0.102808215,0.20457329,0.19295551,0.12202697,0.17393269,0.117980435,450
0.001,2.0,0.10488535336942495,0.10480488,0.22575894,0.19865939,0.122255445,0.17964688,0.11958084,0.102996424,0.19119565,0.19894186,0.120449364,0.18004777,0.11767461,469
0.005,0.5,0.10407895226535167,0.10446093,0.24049197,0.19409674,0.121884495,0.17484957,0.11888006,0.103284195,0.20526949,0.19483958,0.12082935,0.1756531,0.11753057,470
0.001,1.0,0.10428964542715173,0.10446342,0.22494723,0.20039958,0.119503714,0.18173221,0.11670548,0.10332756,0.19275142,0.20088786,0.118496224,0.18241237,0.1155888,469
0.005,1.0,0.10488626077940344,0.10457875,0.23367217,0.1936248,0.12381093,0.17506023,0.11987741,0.10339423,0.2170915,0.19352478,0.12372933,0.17515147,0.11951271,474
0.05,0.5,0.10549883052353028,0.10514577,0.24051401,0.19545501,0.123946734,0.17745706,0.12003944,0.10349366,0.2119171,0.1954829,0.122846015,0.17775054,0.118754745,461
0.005,2.0,0.10459874006001696,0.104802296,0.23063421,0.1965602,0.121489584,0.17726803,0.118006885,0.10351364,0.20470122,0.19699508,0.120629124,0.17781699,0.116754115,454
0.015,0.5,0.10570354446753383,0.10484688,0.24031581,0.19326805,0.12414048,0.17453642,0.12082615,0.10367718,0.20806417,0.1943252,0.122546054,0.17561795,0.11874753,477
0.5,1.0,0.10548969779559579,0.1055119,0.2291442,0.19729428,0.123232186,0.18013918,0.12097389,0.10376957,0.19826005,0.19797152,0.12107475,0.18088855,0.118590154,479
0.5,0.5,0.10570292656912524,0.10554451,0.23632811,0.19235845,0.124769814,0.17565177,0.121356435,0.103807606,0.20522326,0.1926743,0.12352251,0.17608917,0.11993153,474
0.5,2.0,0.10661639503834787,0.10637839,0.2430053,0.19516627,0.12489593,0.17770319,0.12130665,0.10398471,0.21239129,0.1948818,0.122767165,0.17746194,0.1189619,458
0.05,2.0,0.1054236112302794,0.104768455,0.23791254,0.19449843,0.12346121,0.17422551,0.119398534,0.10410916,0.20572722,0.19614208,0.12243962,0.17595743,0.11812783,471
0.1,1.0,0.10564716643931572,0.10589018,0.23589943,0.19510813,0.12397269,0.1766445,0.12037439,0.104727305,0.207374,0.19589844,0.12283494,0.17762336,0.118893504,495
0.1,2.0,0.10506099941529971,0.105179355,0.22409724,0.19887534,0.12033853,0.1801846,0.117208645,0.10473916,0.20865001,0.19966812,0.12052915,0.18118563,0.11720033,454
